Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
23132,Arnold Palmer Tournament Golf,Sports,,GEN,Sega,Sega,,,,,,,,,1989.0
23133,Aron's Journey in Dreamland,Action,,XBL,Microsoft,Meruvia Game Studio,,,,,,,,,2011.0
23134,Around the World,Misc,E,WW,Unknown,Wizarbox Studios,,,,,,,,,2010.0
23135,Array,Misc,,And,Unknown,Unknown,,,,,,,,,2014.0
23136,Arriba!,Misc,,XBL,Microsoft,Jagglestein,,,,,,,,,2008.0
23137,Arrow Flash,Shooter,,GEN,Sega,"Renovation Products, Inc.",,,,,,,,,1990.0
23138,Arrow of Laputa,Simulation,,DSiW,ArtePiazza,ArtePiazza,,,,,,,,,2010.0
23139,Arrow of Laputa: A Shadowless Teacher and the Key of Chiron,Misc,,3DS,ArtePiazza,Unknown,,,,,,,,,2014.0
23140,Arrow Run,Puzzle,,XBL,Microsoft,North Squard,,,,,,,,,2009.0
23141,Arsenal of Democracy,Strategy,,PC,Paradox Interactive,BL-Logic,,,,,,,,,2010.0
23142,Arslan Senki,Strategy,,SCD,Sega,Sega,,,,,,,,,1993.0
23143,Art Academy: First Semester,Simulation,E,DSiW,Nintendo,Headstrong Games,,,,,,,,,2009.0
23144,Art Academy: Second Semester,Simulation,E,DSiW,Nintendo,Headstrong Games,,,,,,,,,2009.0
23145,Art Alive,Puzzle,,GEN,Sega,Sega,,,,,,,,,1991.0
23146,Art Camion Geijutsuden,Racing,,PS,TYO,TYO,,,,,,,,,1999.0
23147,Art Camion Sugorokuden,Misc,,PS,Affect,Affect,,,,,,,,,2000.0
23148,Art Camion Sugorokuden,Misc,,PSN,Affect,Affect,,,,,,,,,2010.0
23149,Art of Balance,Puzzle,E,WW,Shin'en,Shin'en Multimedia,,,,,,,,,2010.0
23150,Art of Fighting,Fighting,,SNES,Takara,SNK Corporation,,,,,,,,,1993.0
23151,Art of Fighting,Fighting,,GEN,Sega,SNK Corporation,,,,,,,,,1994.0
23152,Art of Fighting,Fighting,,NG,SNK,SNK Corporation,,,,,,,,,1992.0
23153,Art of Fighting,Fighting,T,VC,SNK Playmore,SNK Corporation,,,,,,,,,2007.0
23154,Art of Fighting,Fighting,T,PSN,SNK Playmore,SNK Corporation,,,,,,,,,2010.0
23155,Art of Fighting (CD),Fighting,,NG,SNK,SNK Corporation,,,,,,,,,1994.0
23156,Art of Fighting (PSP),Fighting,T,PSN,SNK Playmore,SNK Corporation,,,,,,,,,2011.0
23157,Art of Fighting 2,Fighting,,NG,SNK,SNK Corporation,,,,,,,,,1994.0
23158,Art of Fighting 2,Fighting,T,VC,D4 Enterprise,SNK Corporation,,,,,,,,,2008.0
23159,Art of Fighting 2 (CD),Fighting,,NG,SNK,SNK Corporation,,,,,,,,,1994.0
23160,Art of Fighting: Ryuuko no Ken Gaiden,Fighting,,VC,D4 Enterprise,SNK Corporation,,,,,,,,,2011.0
23161,Art of Fighting: Ryuuko no Ken Gaiden (CD),Fighting,,NG,SNK,SNK Corporation,,,,,,,,,1996.0
23162,Art of Ink,Simulation,E10,DSiW,Sabarasa Entertainment,Sabarasa Inc,,,,,,,,,2011.0
23163,Art of Murder: Cards of Destiny,Adventure,,DS,Unknown,Unknown,,,,,,,,,2011.0
23164,Art of Murder: FBI Top Secret,Adventure,T,DS,City Interactive,City Interactive,,,,,,,,,2010.0
23165,Art Style REMNEM,Puzzle,,DSiW,Unknown,skip Ltd.,,,,,,,,,2010.0
23166,Art Style: AQUIA,Puzzle,E,DSiW,Nintendo,skip Ltd.,7.5,,,,,,,,2009.0
23167,Art Style: BASE 10,Puzzle,E,DSiW,Nintendo,skip Ltd.,,,,,,,,,2009.0
23168,Art Style: BOXLIFE,Puzzle,E,DSiW,Nintendo,skip Ltd.,,,,,,,,,2009.0
23169,Art Style: CUBELLO,Puzzle,E,WW,Nintendo,skip Ltd.,,,,,,,,,2008.0
23170,Art Style: DIGIDRIVE,Puzzle,E,DSiW,Nintendo,Q-Games,,,,,,,,,2009.0
23171,Art Style: light trax,Racing,E,WW,Nintendo,skip Ltd.,7.4,,,,,,,,2010.0
23172,Art Style: ORBIENT,Puzzle,E,WW,Nintendo,skip Ltd.,7.8,,,,,,,,2008.0
23173,Art Style: PiCTOBiTS,Puzzle,E,DSiW,Nintendo,skip Ltd.,7.7,,,,,,,,2009.0
23174,Art Style: precipice,Puzzle,E,DSiW,Nintendo,skip Ltd.,,,,,,,,,2009.0
23175,Art Style: ROTOHEX,Puzzle,E,WW,Nintendo,skip Ltd.,,,,,,,,,2008.0
23176,Art Style: Rotozoa,Puzzle,E,WW,Nintendo,skip Ltd.,,,,,,,,,2010.0
23177,Art Style: ZENGAGE,Puzzle,E,DSiW,Nintendo,skip Ltd.,,,,,,,,,2009.0
23178,Artemis Spaceship Bridge Simulator,Simulation,,And,"Incandescent Core, LLC","Incandescent Core, LLC",,,,,,,,,2012.0
23179,Arthur and the Invisibles,Adventure,E,GBA,Atari,Mistic Software,3.1,,,,,,,,2007.0
